epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.9014,0.95171,3.33822,0.92636,0.03136,0.53027,0.02447,0.0153,1.05346,3.33743,0.85553,0.0001,0.0001,0.0001
2,58.3632,0.75592,2.82719,0.85262,0.05136,0.86848,0.17237,0.07444,0.69839,3.37991,0.7964,0.000217822,0.000217822,0.000217822
3,82.7899,0.77192,2.08937,0.83363,0.05099,0.86221,0.20953,0.10438,0.73871,3.28067,0.79232,0.000333268,0.000333268,0.000333268
4,107.681,0.78041,1.58527,0.84507,0.05099,0.86221,0.20994,0.09497,0.75923,3.22738,0.80272,0.000446338,0.000446338,0.000446338
5,132.217,0.76414,1.20599,0.83209,0.05099,0.86221,0.25287,0.11072,0.7464,3.09934,0.80468,0.000557032,0.000557032,0.000557032
6,163.747,0.65641,0.92169,0.82571,0.05099,0.86221,0.57012,0.42693,0.71916,2.91452,0.81178,0.00066535,0.00066535,0.00066535
7,200.376,0.69948,0.80247,0.83003,0.05099,0.86221,0.80508,0.57442,0.87988,2.78973,0.82663,0.000771292,0.000771292,0.000771292
8,242.329,0.68259,0.6932,0.82496,0.05099,0.86221,0.74098,0.54682,0.87392,2.67627,0.82951,0.000874858,0.000874858,0.000874858
9,277.895,0.65163,0.65379,0.8204,0.04963,0.83925,0.73793,0.52877,0.85169,2.51577,0.83123,0.000976048,0.000976048,0.000976048
10,313.406,0.62659,0.68069,0.82148,0.23214,0.82672,0.82483,0.67297,0.65236,2.27394,0.81698,0.00107486,0.00107486,0.00107486
11,349.156,0.66888,0.64037,0.82408,0.98115,0.76052,0.83038,0.64933,0.78201,2.16517,0.82825,0.0011713,0.0011713,0.0011713
12,384.562,0.63714,0.65696,0.82307,0.98463,0.80222,0.848,0.6722,0.64526,2.10771,0.81888,0.00126536,0.00126536,0.00126536
13,421.994,0.64665,0.6055,0.81248,0.99394,0.68462,0.85567,0.68442,0.64528,2.00238,0.8206,0.00135705,0.00135705,0.00135705
14,457.274,0.62221,0.6164,0.82547,0.99128,0.80585,0.86241,0.70419,0.6723,1.61702,0.81816,0.00144636,0.00144636,0.00144636
15,492.85,0.62646,0.5987,0.81997,0.98302,0.85177,0.86362,0.71953,0.62212,1.37524,0.80876,0.00153329,0.00153329,0.00153329
16,528.618,0.6209,0.61042,0.82791,0.97674,0.85595,0.86343,0.76606,0.57999,1.05263,0.81073,0.00161785,0.00161785,0.00161785
17,564.125,0.5847,0.52079,0.80776,0.98083,0.85449,0.8647,0.73503,0.64298,0.92009,0.81405,0.0016832,0.0016832,0.0016832
18,599.878,0.61212,0.57641,0.81751,0.97395,0.85845,0.86511,0.74698,0.57378,0.85394,0.80741,0.0016634,0.0016634,0.0016634
19,636.221,0.62662,0.56077,0.82317,0.97397,0.85942,0.86573,0.74235,0.59435,0.86328,0.80904,0.0016436,0.0016436,0.0016436
20,671.926,0.59779,0.53475,0.81283,0.99191,0.84969,0.86806,0.76686,0.5692,0.77,0.80819,0.0016238,0.0016238,0.0016238
21,707.331,0.5996,0.54954,0.82171,0.99647,0.85177,0.86969,0.7818,0.51635,0.72137,0.80482,0.001604,0.001604,0.001604
22,742.688,0.59005,0.55586,0.82077,0.99756,0.85177,0.86988,0.78617,0.5129,0.63193,0.80689,0.0015842,0.0015842,0.0015842
23,778.916,0.5726,0.53899,0.81716,0.9943,0.85804,0.86839,0.79314,0.48595,0.59838,0.8044,0.0015644,0.0015644,0.0015644
24,814.692,0.54839,0.48658,0.81043,0.98562,0.85854,0.86949,0.78711,0.50311,0.5219,0.80478,0.0015446,0.0015446,0.0015446
25,850.408,0.58692,0.53339,0.82454,0.98563,0.85887,0.86983,0.78339,0.52981,0.53285,0.80911,0.0015248,0.0015248,0.0015248
26,885.693,0.56041,0.51257,0.81321,0.98797,0.85712,0.86997,0.78457,0.51198,0.52561,0.80779,0.001505,0.001505,0.001505
27,924.256,0.56871,0.4859,0.80954,0.98797,0.85695,0.86796,0.78984,0.48075,0.50133,0.80469,0.0014852,0.0014852,0.0014852
28,961.146,0.6294,0.50581,0.81724,0.98795,0.85575,0.87075,0.78313,0.57987,0.48637,0.81361,0.0014654,0.0014654,0.0014654
29,996.775,0.60421,0.48553,0.81167,0.98329,0.85996,0.87158,0.80112,0.47623,0.44814,0.80548,0.0014456,0.0014456,0.0014456
30,1032.34,0.55947,0.48707,0.80929,0.98272,0.86013,0.87061,0.79821,0.48287,0.4439,0.80898,0.0014258,0.0014258,0.0014258
31,1067.82,0.55388,0.47766,0.80608,0.98293,0.86013,0.8712,0.78799,0.50978,0.44274,0.8111,0.001406,0.001406,0.001406
32,1103.78,0.54368,0.47748,0.80909,0.98329,0.85982,0.87186,0.80583,0.45893,0.43244,0.79977,0.0013862,0.0013862,0.0013862
33,1138.86,0.52618,0.44689,0.80474,0.98298,0.85804,0.87255,0.80605,0.44683,0.41336,0.79903,0.0013664,0.0013664,0.0013664
34,1174.86,0.50122,0.46732,0.80626,0.99514,0.85481,0.87241,0.79477,0.48194,0.42551,0.80211,0.0013466,0.0013466,0.0013466
35,1210.82,0.50131,0.44782,0.79977,0.99514,0.8546,0.86832,0.79225,0.46699,0.43237,0.80206,0.0013268,0.0013268,0.0013268
36,1247.31,0.50706,0.43215,0.80372,0.99514,0.855,0.87681,0.79546,0.47977,0.42056,0.80234,0.001307,0.001307,0.001307
37,1282.9,0.49243,0.43023,0.80122,0.99496,0.85595,0.87433,0.79532,0.45337,0.39552,0.79926,0.0012872,0.0012872,0.0012872
38,1319.68,0.50477,0.42568,0.79752,0.99375,0.85595,0.87089,0.80456,0.43243,0.38775,0.79709,0.0012674,0.0012674,0.0012674
39,1355.57,0.49544,0.4328,0.80002,0.9911,0.85595,0.86825,0.79472,0.46586,0.40076,0.79985,0.0012476,0.0012476,0.0012476
40,1391.52,0.4777,0.41535,0.80437,0.99033,0.85522,0.87111,0.80984,0.42858,0.38039,0.79537,0.0012278,0.0012278,0.0012278
41,1427.64,0.48676,0.42469,0.80286,0.988,0.85955,0.87691,0.81299,0.43288,0.40116,0.7954,0.001208,0.001208,0.001208
42,1463.67,0.52695,0.46263,0.80623,0.99494,0.86013,0.87856,0.79872,0.45366,0.40365,0.79811,0.0011882,0.0011882,0.0011882
43,1499.16,0.50754,0.40442,0.79954,0.99517,0.85974,0.8776,0.8085,0.4446,0.40287,0.79591,0.0011684,0.0011684,0.0011684
44,1534.77,0.50077,0.43955,0.80253,0.99516,0.858,0.87728,0.79844,0.46061,0.39633,0.79769,0.0011486,0.0011486,0.0011486
45,1571.18,0.50448,0.41224,0.79897,0.99002,0.85804,0.87838,0.80261,0.45527,0.41427,0.79733,0.0011288,0.0011288,0.0011288
46,1607.16,0.50414,0.41825,0.79972,0.98806,0.85595,0.87715,0.78955,0.47715,0.41651,0.79977,0.001109,0.001109,0.001109
47,1642.95,0.49224,0.41363,0.79452,0.98825,0.85595,0.8766,0.7885,0.4876,0.42133,0.80183,0.0010892,0.0010892,0.0010892
48,1678.69,0.51042,0.43391,0.80612,0.98841,0.85595,0.87928,0.80458,0.4504,0.39257,0.79628,0.0010694,0.0010694,0.0010694
49,1716.08,0.50986,0.40945,0.79703,0.98998,0.85595,0.87861,0.78876,0.46799,0.40135,0.79786,0.0010496,0.0010496,0.0010496
50,1753.89,0.5242,0.45929,0.80517,0.99013,0.85804,0.87647,0.80817,0.42457,0.38697,0.79356,0.0010298,0.0010298,0.0010298
51,1788.94,0.49748,0.41431,0.80039,0.988,0.8597,0.87676,0.80149,0.42657,0.40211,0.79419,0.00101,0.00101,0.00101
52,2840.18,0.47124,0.3898,0.79771,0.9783,0.85177,0.876,0.80045,0.46257,0.42051,0.80069,0.0009902,0.0009902,0.0009902
53,2876.25,0.51033,0.43019,0.80438,0.99125,0.85804,0.87641,0.80817,0.42872,0.3994,0.79695,0.0009704,0.0009704,0.0009704
54,2908.12,0.47164,0.38584,0.79573,0.98511,0.86013,0.8824,0.812,0.41899,0.38711,0.79483,0.0009506,0.0009506,0.0009506
55,2941.87,0.46967,0.38592,0.79699,0.98505,0.86013,0.87853,0.81359,0.40974,0.36634,0.79322,0.0009308,0.0009308,0.0009308
56,2977.5,0.45947,0.38206,0.7955,0.98515,0.86013,0.8765,0.81937,0.40678,0.36405,0.79276,0.000911,0.000911,0.000911
57,3016.27,0.46255,0.37887,0.79547,0.98525,0.86013,0.88403,0.81364,0.41706,0.35854,0.79496,0.0008912,0.0008912,0.0008912
58,3051.36,0.47424,0.38856,0.79851,0.99143,0.86013,0.88431,0.81611,0.43134,0.35823,0.79598,0.0008714,0.0008714,0.0008714
59,3087.05,0.50235,0.41356,0.80689,0.99219,0.86013,0.87886,0.81975,0.40575,0.35503,0.79282,0.0008516,0.0008516,0.0008516
60,3123.36,0.48205,0.4056,0.79926,0.99275,0.85782,0.87151,0.81094,0.41949,0.37239,0.79521,0.0008318,0.0008318,0.0008318
61,3159.6,0.46657,0.37513,0.79578,0.98564,0.85996,0.87178,0.81718,0.40469,0.3653,0.7938,0.000812,0.000812,0.000812
62,3196.37,0.46121,0.38763,0.79722,0.98076,0.86221,0.87197,0.8131,0.418,0.35081,0.79367,0.0007922,0.0007922,0.0007922
63,3233.19,0.48193,0.42107,0.80605,0.98089,0.85736,0.8719,0.80448,0.42725,0.35419,0.79505,0.0007724,0.0007724,0.0007724
64,3261.22,0.46011,0.39547,0.80008,0.98232,0.85804,0.87067,0.80847,0.42344,0.36819,0.79505,0.0007526,0.0007526,0.0007526
65,3291.17,0.46881,0.37817,0.79552,0.98328,0.85934,0.87098,0.81081,0.42076,0.36395,0.7946,0.0007328,0.0007328,0.0007328
66,3317.26,0.47583,0.38624,0.80096,0.98692,0.86221,0.8696,0.80999,0.4272,0.36949,0.79848,0.000713,0.000713,0.000713
67,3352.7,0.48429,0.38157,0.80239,0.98733,0.86221,0.87135,0.80393,0.4323,0.36212,0.79872,0.0006932,0.0006932,0.0006932
68,3392.99,0.45914,0.37341,0.79769,0.98803,0.86163,0.87299,0.81263,0.41156,0.33536,0.79367,0.0006734,0.0006734,0.0006734
69,3434.75,0.45395,0.35113,0.79177,0.99003,0.86013,0.87581,0.81979,0.40362,0.32555,0.79236,0.0006536,0.0006536,0.0006536
